month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,dest,air_time,distance,hour,minute,carrier_name,dest_name
10,15,1121,-1,1307,-9,OO,N930SW,5197,SFO,89,550,11,21,SkyWest Airlines Inc.,San Francisco Intl
4,10,46,-9,550,-19,DL,N925DN,2200,MSP,169,1426,0,46,Delta Air Lines Inc.,Minneapolis St Paul Intl
1,21,1149,-2,1403,-7,OO,N630SK,4698,LAX,118,834,11,49,SkyWest Airlines Inc.,Los Angeles Intl
8,22,753,-10,1125,-15,UA,N444UA,550,DEN,123,991,7,53,United Air Lines Inc.,Denver Intl
1,23,1450,30,1613,28,WN,N438WN,752,SMF,66,479,14,50,Southwest Airlines Co.,Sacramento Intl
7,19,756,-9,1002,-12,AS,N531AS,626,LAS,108,763,7,56,Alaska Airlines Inc.,Mc Carran Intl
11,27,1117,-8,1432,-20,US,N660AW,574,PHX,121,1009,11,17,US Airways Inc.,Phoenix Sky Harbor Intl
4,18,1833,3,2007,-8,WN,N428WN,1890,OAK,82,543,18,33,Southwest Airlines Co.,Metropolitan Oakland Intl
4,24,712,12,1020,15,AS,N563AS,833,HNL,352,2603,7,12,Alaska Airlines Inc.,Honolulu Intl
8,8,1550,20,1724,9,WN,N639SW,502,OAK,82,543,15,50,Southwest Airlines Co.,Metropolitan Oakland Intl
6,29,1013,-2,1302,-3,HA,N388HA,25,HNL,322,2603,10,13,Hawaiian Airlines Inc.,Honolulu Intl
12,24,1340,-5,1545,-11,AS,N413AS,570,LAX,111,834,13,40,Alaska Airlines Inc.,Los Angeles Intl
3,10,1504,4,1727,-8,WN,N246LV,264,PHX,129,1009,15,4,Southwest Airlines Co.,Phoenix Sky Harbor Intl
3,26,1310,62,1350,64,OO,N291SW,5411,EUG,30,106,13,10,SkyWest Airlines Inc.,Mahlon Sweet Fld
3,10,737,-3,926,-1,AS,N791AS,244,SFO,87,550,7,37,Alaska Airlines Inc.,San Francisco Intl
6,7,739,-6,945,-9,OO,N223AG,3486,BOI,48,344,7,39,SkyWest Airlines Inc.,Boise Air Terminal
2,16,911,-4,1617,-23,DL,N3760C,1256,ATL,230,2172,9,11,Delta Air Lines Inc.,Hartsfield Jackson Atlanta Intl
8,4,2103,0,455,-11,B6,N763JB,1206,JFK,274,2454,21,3,JetBlue Airways,John F Kennedy Intl
7,24,1707,37,1849,35,AS,N618AS,402,SJC,86,569,17,7,Alaska Airlines Inc.,Norman Y Mineta San Jose Intl
4,11,530,-5,848,-19,UA,N37413,1072,DEN,121,991,5,30,United Air Lines Inc.,Denver Intl
2,17,1436,96,1937,79,DL,N958DN,2164,MSP,161,1426,14,36,Delta Air Lines Inc.,Minneapolis St Paul Intl
7,2,1944,54,2151,51,WN,N614SW,203,LAS,114,763,19,44,Southwest Airlines Co.,Mc Carran Intl
6,28,1834,29,2053,13,WN,N955WN,2890,PHX,124,1009,18,34,Southwest Airlines Co.,Phoenix Sky Harbor Intl
6,15,1228,-7,1510,0,AS,N593AS,137,ANC,209,1542,12,28,Alaska Airlines Inc.,Ted Stevens Anchorage Intl
2,13,1724,-8,1822,-2,OO,N569SW,5417,SEA,40,129,17,24,SkyWest Airlines Inc.,Seattle Tacoma Intl
12,14,2040,-5,4,-6,WN,N916WN,3043,PHX,128,1009,20,40,Southwest Airlines Co.,Phoenix Sky Harbor Intl
3,30,1949,-1,2219,-14,AS,N435AS,137,ANC,196,1542,19,49,Alaska Airlines Inc.,Ted Stevens Anchorage Intl
5,3,811,-4,1549,-45,US,N659AW,669,PHL,259,2406,8,11,US Airways Inc.,Philadelphia Intl
10,20,1111,81,1353,74,OO,N225AG,3492,SLC,84,630,11,11,SkyWest Airlines Inc.,Salt Lake City Intl
8,5,2020,-5,2231,-6,OO,N216AG,3464,ONT,118,838,20,20,SkyWest Airlines Inc.,Ontario Intl
6,25,626,-4,1351,-14,DL,N818DA,1156,ATL,250,2172,6,26,Delta Air Lines Inc.,Hartsfield Jackson Atlanta Intl
11,2,646,-4,854,-16,AS,N615AS,582,SNA,116,859,6,46,Alaska Airlines Inc.,John Wayne Arpt Orange Co
2,20,1048,3,1408,3,F9,N263AV,360,DEN,119,991,10,48,Frontier Airlines Inc.,Denver Intl
9,26,1255,-9,1620,-9,F9,N220FR,790,DEN,131,991,12,55,Frontier Airlines Inc.,Denver Intl
1,24,535,-5,916,8,UA,N33286,1139,DEN,138,991,5,35,United Air Lines Inc.,Denver Intl
3,25,1959,24,2156,11,WN,N942WN,1458,LAS,106,763,19,59,Southwest Airlines Co.,Mc Carran Intl
9,4,619,-6,836,-7,OO,N219AG,3460,ONT,118,838,6,19,SkyWest Airlines Inc.,Ontario Intl
4,13,853,-7,1618,-11,DL,N390DA,2464,ATL,248,2172,8,53,Delta Air Lines Inc.,Hartsfield Jackson Atlanta Intl
9,15,808,-2,956,-4,WN,N388SW,257,OAK,94,543,8,8,Southwest Airlines Co.,Metropolitan Oakland Intl
7,2,651,-9,930,6,AS,N535AS,582,SNA,133,859,6,51,Alaska Airlines Inc.,John Wayne Arpt Orange Co
5,7,1105,1,1326,30,OO,N983CA,5197,SFO,83,550,11,5,SkyWest Airlines Inc.,San Francisco Intl
5,8,626,-4,832,-23,AS,N309AS,558,LAX,104,834,6,26,Alaska Airlines Inc.,Los Angeles Intl
5,30,2233,3,2335,-3,OO,N582SW,5437,LMT,49,241,22,33,SkyWest Airlines Inc.,Klamath Falls Airport
5,16,2007,-8,2141,-24,WN,N245WN,130,OAK,81,543,20,7,Southwest Airlines Co.,Metropolitan Oakland Intl
11,1,1623,-7,1757,-11,AS,N589AS,402,SJC,82,569,16,23,Alaska Airlines Inc.,Norman Y Mineta San Jose Intl
10,30,947,8,1033,6,OO,N825SK,4604,SEA,30,129,9,47,SkyWest Airlines Inc.,Seattle Tacoma Intl
7,15,2110,0,2356,-3,AS,N614AS,145,FAI,210,1640,21,10,Alaska Airlines Inc.,Fairbanks Intl
1,19,1544,-6,1759,-6,AS,N627AS,592,SNA,124,859,15,44,Alaska Airlines Inc.,John Wayne Arpt Orange Co
9,15,1201,21,1402,12,WN,N8612K,571,LAS,109,763,12,1,Southwest Airlines Co.,Mc Carran Intl
3,2,552,-8,736,-7,AS,N589AS,406,SJC,87,569,5,52,Alaska Airlines Inc.,Norman Y Mineta San Jose Intl
11,12,1121,-9,1335,-13,AS,N594AS,580,SNA,117,859,11,21,Alaska Airlines Inc.,John Wayne Arpt Orange Co
9,15,941,-4,1204,-14,OO,N905SW,6518,LAX,125,834,9,41,SkyWest Airlines Inc.,Los Angeles Intl
11,7,951,-4,1512,-27,AS,N433AS,652,DFW,179,1616,9,51,Alaska Airlines Inc.,Dallas Fort Worth Intl
4,28,1331,16,2000,40,AA,N3BAAA,115,ORD,228,1739,13,31,American Airlines Inc.,Chicago Ohare Intl
3,2,1349,29,1621,18,DL,N397DA,1208,SLC,81,630,13,49,Delta Air Lines Inc.,Salt Lake City Intl
12,7,1118,-7,1209,-6,OO,N631SK,4611,SEA,34,129,11,18,SkyWest Airlines Inc.,Seattle Tacoma Intl
1,1,1113,-2,1427,-8,WN,N293WN,3042,DEN,121,991,11,13,Southwest Airlines Co.,Denver Intl
1,13,1127,-3,1336,-9,AS,N594AS,578,SAN,116,933,11,27,Alaska Airlines Inc.,San Diego Intl
8,24,601,1,1133,-12,AA,N4YAAA,1534,DFW,197,1616,6,1,American Airlines Inc.,Dallas Fort Worth Intl
2,20,1859,24,2039,24,WN,N245WN,3504,OAK,75,543,18,59,Southwest Airlines Co.,Metropolitan Oakland Intl
11,28,1726,-4,1910,0,WN,N704SW,1446,OAK,86,543,17,26,Southwest Airlines Co.,Metropolitan Oakland Intl
12,1,1729,-6,1818,-7,OO,N616QX,4547,SEA,34,129,17,29,SkyWest Airlines Inc.,Seattle Tacoma Intl
1,15,631,-4,949,-11,WN,N961WN,419,DEN,120,991,6,31,Southwest Airlines Co.,Denver Intl
6,25,554,-1,914,-11,WN,N7732A,4349,DEN,121,991,5,54,Southwest Airlines Co.,Denver Intl
11,23,1725,-10,1814,-11,OO,N603SK,4547,SEA,34,129,17,25,SkyWest Airlines Inc.,Seattle Tacoma Intl
8,9,910,15,1655,20,DL,N371DA,902,ATL,261,2172,9,10,Delta Air Lines Inc.,Hartsfield Jackson Atlanta Intl
6,24,1637,67,2225,70,AA,N4YUAA,157,DFW,196,1616,16,37,American Airlines Inc.,Dallas Fort Worth Intl
6,16,1758,-2,2024,-11,US,N644AW,496,PHX,126,1009,17,58,US Airways Inc.,Phoenix Sky Harbor Intl
3,9,2131,46,2351,36,WN,N921WN,1368,PHX,126,1009,21,31,Southwest Airlines Co.,Phoenix Sky Harbor Intl
8,13,1852,-3,2029,-28,AS,N644AS,386,SFO,83,550,18,52,Alaska Airlines Inc.,San Francisco Intl
10,29,1027,-8,1254,-7,AS,N534AS,644,PHX,128,1009,10,27,Alaska Airlines Inc.,Phoenix Sky Harbor Intl
3,16,1203,-1,1247,3,OO,N582SW,5325,RDM,30,116,12,3,SkyWest Airlines Inc.,Roberts Fld
3,13,1100,-5,1221,-9,WN,N750SA,2603,SMF,67,479,11,0,Southwest Airlines Co.,Sacramento Intl
2,16,1254,-6,1747,-29,DL,N928DN,2164,MSP,162,1426,12,54,Delta Air Lines Inc.,Minneapolis St Paul Intl
3,17,1143,8,1254,-1,WN,N790SW,1171,RNO,60,444,11,43,Southwest Airlines Co.,Reno Tahoe Intl
12,10,2245,0,611,1,DL,N806DN,503,ATL,250,2172,22,45,Delta Air Lines Inc.,Hartsfield Jackson Atlanta Intl
3,30,1949,-6,2142,8,AS,N516AS,404,SJC,87,569,19,49,Alaska Airlines Inc.,Norman Y Mineta San Jose Intl
9,1,2001,6,2141,6,AS,N562AS,404,SJC,83,569,20,1,Alaska Airlines Inc.,Norman Y Mineta San Jose Intl
5,5,625,-5,1339,-30,DL,N3766,1156,ATL,237,2172,6,25,Delta Air Lines Inc.,Hartsfield Jackson Atlanta Intl
2,10,1547,-3,1750,-15,AS,N613AS,592,SNA,110,859,15,47,Alaska Airlines Inc.,John Wayne Arpt Orange Co
6,16,932,-3,1208,-17,OO,N224AG,3466,TUS,141,1119,9,32,SkyWest Airlines Inc.,Tucson Intl
2,1,2218,-7,2254,-8,OO,N586SW,5440,RDM,29,116,22,18,SkyWest Airlines Inc.,Roberts Fld
6,28,1019,14,1156,1,WN,N422WN,3320,SJC,85,569,10,19,Southwest Airlines Co.,Norman Y Mineta San Jose Intl
8,29,1522,-7,1749,-8,OO,N924SW,6235,LAX,118,834,15,22,SkyWest Airlines Inc.,Los Angeles Intl
5,21,1757,-3,2040,10,US,N621AW,496,PHX,141,1009,17,57,US Airways Inc.,Phoenix Sky Harbor Intl
6,3,754,-6,1017,-1,AS,N796AS,568,LAX,116,834,7,54,Alaska Airlines Inc.,Los Angeles Intl
11,3,1336,-5,1610,-12,DL,N342NW,1208,SLC,79,630,13,36,Delta Air Lines Inc.,Salt Lake City Intl
6,24,1123,23,1245,20,WN,N449WN,4357,SMF,66,479,11,23,Southwest Airlines Co.,Sacramento Intl
8,12,1528,-6,1815,10,OO,N916SW,6235,LAX,127,834,15,28,SkyWest Airlines Inc.,Los Angeles Intl
5,6,1735,-5,1830,-1,OO,N234SW,5417,SEA,37,129,17,35,SkyWest Airlines Inc.,Seattle Tacoma Intl
12,13,1850,-1,2026,-12,UA,N820UA,416,SFO,79,550,18,50,United Air Lines Inc.,San Francisco Intl
10,2,945,-5,1227,-18,AS,N537AS,131,ANC,205,1542,9,45,Alaska Airlines Inc.,Ted Stevens Anchorage Intl
8,22,1032,-8,1315,-20,HA,N389HA,25,HNL,320,2603,10,32,Hawaiian Airlines Inc.,Honolulu Intl
5,14,737,-8,938,-16,OO,N223AG,3486,BOI,48,344,7,37,SkyWest Airlines Inc.,Boise Air Terminal
7,7,1041,-4,1620,-20,WN,N765SW,4235,MDW,206,1751,10,41,Southwest Airlines Co.,Chicago Midway Intl
11,20,1125,-5,1348,0,AS,N589AS,580,SNA,124,859,11,25,Alaska Airlines Inc.,John Wayne Arpt Orange Co
8,13,1842,-3,2005,-5,WN,N763SW,4455,SMF,68,479,18,42,Southwest Airlines Co.,Sacramento Intl
3,27,1542,12,1709,-1,WN,N719SW,498,OAK,75,543,15,42,Southwest Airlines Co.,Metropolitan Oakland Intl
6,10,1657,4,1837,-4,OO,N752SK,5212,SFO,84,550,16,57,SkyWest Airlines Inc.,San Francisco Intl
2,22,1216,12,1306,21,OO,N221SW,5325,RDM,28,116,12,16,SkyWest Airlines Inc.,Roberts Fld
5,16,735,-10,936,-18,OO,N219AG,3486,BOI,43,344,7,35,SkyWest Airlines Inc.,Boise Air Terminal
6,23,2223,-2,2300,-5,OO,N270YV,5353,EUG,25,106,22,23,SkyWest Airlines Inc.,Mahlon Sweet Fld
8,14,739,-1,957,-8,WN,N947WN,437,SAN,125,933,7,39,Southwest Airlines Co.,San Diego Intl
4,16,1300,0,1454,-11,WN,N8325D,579,LAS,100,763,13,0,Southwest Airlines Co.,Mc Carran Intl
5,10,854,24,945,26,OO,N225AG,3473,SEA,37,129,8,54,SkyWest Airlines Inc.,Seattle Tacoma Intl
1,1,1751,144,1928,135,UA,N802UA,212,SFO,81,550,17,51,United Air Lines Inc.,San Francisco Intl
8,10,1748,78,2013,81,OO,N223AG,3478,LGB,126,846,17,48,SkyWest Airlines Inc.,Long Beach
9,25,834,-6,1109,-21,AS,N560AS,863,OGG,320,2562,8,34,Alaska Airlines Inc.,Kahului
1,28,1315,-10,1913,-22,AA,N3BSAA,115,ORD,205,1739,13,15,American Airlines Inc.,Chicago Ohare Intl
10,20,1502,91,1701,102,UA,N426UA,367,SFO,98,550,15,2,United Air Lines Inc.,San Francisco Intl
9,17,1224,44,1445,44,AS,N506AS,572,SAN,129,933,12,24,Alaska Airlines Inc.,San Diego Intl
11,20,832,62,1025,58,AS,N788AS,244,SFO,94,550,8,32,Alaska Airlines Inc.,San Francisco Intl
9,7,1013,-7,1235,-5,AS,N644AS,580,SNA,122,859,10,13,Alaska Airlines Inc.,John Wayne Arpt Orange Co
8,4,1011,-4,1252,-8,DL,N658DL,1598,SLC,86,630,10,11,Delta Air Lines Inc.,Salt Lake City Intl
12,16,852,-3,1114,-6,WN,N7745A,4215,SAN,126,933,8,52,Southwest Airlines Co.,San Diego Intl
8,18,804,-1,1010,-4,AS,N526AS,626,LAS,107,763,8,4,Alaska Airlines Inc.,Mc Carran Intl
5,1,653,-12,908,-16,AS,N553AS,582,SNA,119,859,6,53,Alaska Airlines Inc.,John Wayne Arpt Orange Co
8,3,632,-8,857,-10,AS,N778AS,558,LAX,121,834,6,32,Alaska Airlines Inc.,Los Angeles Intl
11,2,652,-8,826,-14,VX,N636VA,805,SFO,79,550,6,52,Virgin America,San Francisco Intl
4,21,919,-1,1718,-23,AS,N457AS,30,BOS,274,2537,9,19,Alaska Airlines Inc.,General Edward Lawrence Logan Intl
10,8,1145,5,1344,-6,WN,N8314L,571,LAS,106,763,11,45,Southwest Airlines Co.,Mc Carran Intl
10,22,1820,20,2017,7,WN,N272WN,457,LAS,103,763,18,20,Southwest Airlines Co.,Mc Carran Intl
6,29,1416,61,1938,28,AA,N3BGAA,115,ORD,182,1739,14,16,American Airlines Inc.,Chicago Ohare Intl
1,17,1115,0,1253,-2,WN,N211WN,1259,SJC,86,569,11,15,Southwest Airlines Co.,Norman Y Mineta San Jose Intl
3,28,1126,-14,1312,-13,VX,N528VA,817,SFO,92,550,11,26,Virgin America,San Francisco Intl
6,17,1737,-8,2330,-5,F9,N206FR,1080,STL,211,1708,17,37,Frontier Airlines Inc.,Lambert St Louis Intl
9,27,1113,3,1240,-10,WN,N650SW,1756,OAK,72,543,11,13,Southwest Airlines Co.,Metropolitan Oakland Intl
2,20,1620,-5,1815,-20,OO,N219AG,3494,SBA,102,784,16,20,SkyWest Airlines Inc.,Santa Barbara Muni
10,9,2213,-2,544,-16,US,N108UW,1930,CLT,258,2282,22,13,US Airways Inc.,Charlotte Douglas Intl
2,13,1502,177,1703,178,WN,N359SW,342,LAS,99,763,15,2,Southwest Airlines Co.,Mc Carran Intl
4,11,1258,-2,1435,0,WN,N939WN,956,OAK,81,543,12,58,Southwest Airlines Co.,Metropolitan Oakland Intl
3,25,1724,14,1916,11,AS,N551AS,392,SFO,88,550,17,24,Alaska Airlines Inc.,San Francisco Intl
1,7,1308,-7,1522,-8,OO,N218AG,3478,LGB,117,846,13,8,SkyWest Airlines Inc.,Long Beach
7,25,828,-2,1359,-26,UA,N489UA,722,ORD,190,1739,8,28,United Air Lines Inc.,Chicago Ohare Intl
11,28,1120,-10,1312,0,AS,N526AS,408,SJC,96,569,11,20,Alaska Airlines Inc.,Norman Y Mineta San Jose Intl
6,13,755,-5,1021,1,AS,N795AS,568,LAX,119,834,7,55,Alaska Airlines Inc.,Los Angeles Intl
3,9,754,-6,1019,0,AS,N713AS,568,LAX,124,834,7,54,Alaska Airlines Inc.,Los Angeles Intl
4,23,843,-2,1102,-11,US,N675AW,440,PHX,122,1009,8,43,US Airways Inc.,Phoenix Sky Harbor Intl
9,14,914,9,1141,4,US,N575UW,630,PHX,127,1009,9,14,US Airways Inc.,Phoenix Sky Harbor Intl
4,5,803,-2,1347,2,AA,N4YTAA,1220,DFW,191,1616,8,3,American Airlines Inc.,Dallas Fort Worth Intl
5,19,1135,-1,1216,1,OO,N579SW,5411,EUG,31,106,11,35,SkyWest Airlines Inc.,Mahlon Sweet Fld
4,11,1143,-2,1834,-17,DL,N804DN,2555,DTW,209,1953,11,43,Delta Air Lines Inc.,Detroit Metro Wayne Co
4,18,544,-6,1157,2,UA,N464UA,655,IAH,222,1825,5,44,United Air Lines Inc.,George Bush Intercontinental
3,24,1129,-9,1353,-10,OO,N810SK,4698,LAX,122,834,11,29,SkyWest Airlines Inc.,Los Angeles Intl
8,11,1118,23,1308,26,AS,N619AS,380,SFO,85,550,11,18,Alaska Airlines Inc.,San Francisco Intl
2,16,1734,-11,1949,-16,AS,N323AS,562,LAX,112,834,17,34,Alaska Airlines Inc.,Los Angeles Intl
5,28,529,-6,859,-6,UA,N63820,1227,DEN,131,991,5,29,United Air Lines Inc.,Denver Intl
11,12,649,-10,829,-24,UA,N818UA,416,SFO,85,550,6,49,United Air Lines Inc.,San Francisco Intl
5,17,652,2,1215,7,DL,N596NW,2090,MSP,169,1426,6,52,Delta Air Lines Inc.,Minneapolis St Paul Intl
7,30,1047,-5,1140,-11,OO,N292SW,5397,SEA,33,129,10,47,SkyWest Airlines Inc.,Seattle Tacoma Intl
9,28,653,-7,750,0,OO,N822SK,4613,SEA,29,129,6,53,SkyWest Airlines Inc.,Seattle Tacoma Intl
5,12,1008,-6,1245,-15,DL,N368NW,642,SLC,81,630,10,8,Delta Air Lines Inc.,Salt Lake City Intl
11,10,827,2,1003,-2,WN,N398SW,203,OAK,81,543,8,27,Southwest Airlines Co.,Metropolitan Oakland Intl
10,9,1504,-6,1737,-5,US,N649AW,628,PHX,134,1009,15,4,US Airways Inc.,Phoenix Sky Harbor Intl
12,8,638,-2,904,0,AS,N461AS,558,LAX,114,834,6,38,Alaska Airlines Inc.,Los Angeles Intl
9,3,2025,47,2342,39,F9,N218FR,794,DEN,120,991,20,25,Frontier Airlines Inc.,Denver Intl
9,4,1712,7,2024,-11,WN,N754SW,2048,DEN,119,991,17,12,Southwest Airlines Co.,Denver Intl
